element_type,osmid,geometry
node,26559743,POINT (-0.1452455 51.3952047)
node,252602371,POINT (-0.0882641 51.5063878)
node,269236138,POINT (-0.1706494 51.3553025)
node,293221901,POINT (0.1602259 51.448185)
node,320446994,POINT (-0.1897429 51.5660122)
node,321506811,POINT (-0.127826 51.5362114)
node,331101736,POINT (-0.1181116 51.5581844)
node,360016753,POINT (0.2826033 51.5519566)
node,371519726,POINT (-0.0723316 51.5234859)
node,441948421,POINT (-0.115794 51.5073583)
node,506327773,POINT (-0.1159222 51.5027478)
node,537643627,POINT (-0.1520207 51.5352505)
node,537643639,POINT (-0.1519646 51.5350833)
node,537861749,POINT (-0.1518476 51.5335715)
node,537861758,POINT (-0.1519514 51.5344338)
node,537861797,POINT (-0.1547905 51.536439)
node,560040794,POINT (-0.1473387 51.5422262)
node,635975585,POINT (-0.0867003 51.5059746)
node,691033121,POINT (-0.1568989 51.534874)
node,691033122,POINT (-0.1564221 51.5350866)
node,693728457,POINT (0.0577529 51.4073601)
node,696448272,POINT (-0.1246172 51.4999176)
node,696448275,POINT (-0.1248415 51.4988202)
node,762656746,POINT (-0.2598771 51.4846327)
node,778690379,POINT (-0.2599498 51.4844417)
node,1422415861,POINT (-0.115674 51.511658)
node,1607349303,POINT (-0.1167858 51.3563639)
node,1748657012,POINT (-0.432978 51.4669487)
node,1802652184,POINT (-0.1245721 51.5007042)
node,1853112649,POINT (0.068985 51.5727647)
node,1934455440,POINT (-0.0548514 51.3688863)
node,1937435160,POINT (-0.1239626 51.5029707)
node,2250396691,POINT (-0.1192189 51.5026002)
node,2404286600,POINT (-0.1584201 51.5236013)
node,2497814874,POINT (-0.0608064 51.519714)
node,2497824565,POINT (-0.0749624 51.5186534)
node,2497830805,POINT (-0.0656356 51.5136329)
node,2497831899,POINT (-0.0727626 51.520371)
node,2709945660,POINT (0.0748298 51.3518108)
node,2978897656,POINT (-0.0772253 51.4220538)
node,3060887211,POINT (-0.0864092 51.5044869)
node,3397886782,POINT (-0.1165252 51.5197601)
node,3432300477,POINT (0.0463878 51.5683848)
node,3453930443,POINT (-0.0758418 51.5085864)
node,3608653828,POINT (-0.1471949 51.5423781)
node,3701919583,POINT (-0.1929583 51.492124)
node,3745441972,POINT (-0.0769914 51.5073934)
node,3747143401,POINT (-0.1107461 51.496784)
node,3932310842,POINT (-0.0706571 51.5174584)
node,4008243799,POINT (-0.1464251 51.5668649)
node,4173548736,POINT (0.0788291 51.5365684)
node,4189248446,POINT (-0.1318175 51.5109933)
node,4213420877,POINT (-0.3190434 51.3497614)
node,4213490018,POINT (-0.3219299 51.3481026)
node,4213593183,POINT (-0.3167679 51.3485264)
node,4213593184,POINT (-0.3164186 51.3471156)
node,4249500538,POINT (-0.1562467 51.5351896)
node,4249500590,POINT (-0.1564147 51.534922)
node,4291579190,POINT (-0.1311021 51.5117463)
node,4358645294,POINT (0.235936 51.5664502)
node,4382359536,POINT (-0.0071188 51.5355637)
node,4596880090,POINT (-0.1156652 51.4626168)
node,4646622289,POINT (-0.2567728 51.480931)
node,4685111791,POINT (-0.0716502 51.5065406)
node,4800377221,POINT (-0.1347305 51.5042691)
node,4880887521,POINT (-0.1248024 51.5136246)
node,5018732022,POINT (-0.0802581 51.5019049)
node,5018732921,POINT (-0.1142097 51.5005801)
node,5018732922,POINT (-0.1910407 51.519754)
node,5177177924,POINT (-0.203022 51.5135283)
node,5210995811,POINT (-0.0773186 51.5040964)
