element_type,osmid,geometry
node,451153,POINT (-0.1935029 51.6020306)
node,26544484,POINT (-0.1722345 51.3980144)
node,26603928,POINT (-0.4817145 51.5271764)
node,26604024,POINT (-0.4585479 51.525732)
node,26845558,POINT (-0.1325596 51.5110542)
node,27349264,POINT (-0.063099 51.6499158)
node,31098623,POINT (0.2005327 51.5868564)
node,34190698,POINT (-0.3284018 51.472105)
node,36138571,POINT (-0.1508364 51.3719881)
node,36509097,POINT (-0.3266794 51.4983082)
node,45293688,POINT (0.2346712 51.5939208)
node,65095110,POINT (-0.0487489 51.4256431)
node,96008565,POINT (-0.0560633 51.5340961)
node,96229448,POINT (-0.0656989 51.517788)
node,108035514,POINT (-0.1312087 51.47539)
node,128348464,POINT (-0.1445726 51.4872464)
node,130159372,POINT (-0.1777821 51.4177496)
node,130159445,POINT (-0.1782663 51.4182745)
node,130216826,POINT (-0.1780875 51.4136144)
node,132957893,POINT (-0.1291139 51.4651993)
node,132978018,POINT (-0.1239279 51.4629835)
node,169355678,POINT (-0.1378188 51.4992102)
node,169368767,POINT (-0.1372558 51.4986304)
node,180403503,POINT (-0.1214512 51.5186204)
node,187284060,POINT (-0.1667732 51.4427534)
node,242554852,POINT (-0.105547 51.5896604)
node,243512067,POINT (-0.4275002 51.4622646)
node,245433525,POINT (-0.0796137 51.6783282)
node,247957987,POINT (-0.1165376 51.505166)
node,247957988,POINT (-0.1176917 51.5055251)
node,248228790,POINT (-0.1451088 51.3582971)
node,248443149,POINT (-0.0789765 51.5366022)
node,248932671,POINT (-0.1378996 51.462607)
node,248933563,POINT (-0.1405744 51.4631322)
node,249249967,POINT (-0.3110722 51.6178616)
node,257811613,POINT (-0.0872645 51.6595558)
node,257811796,POINT (-0.0879064 51.6594016)
node,259086194,POINT (-0.0394594 51.5101159)
node,259086195,POINT (-0.0387865 51.5100931)
node,259569252,POINT (-0.1374885 51.4884009)
node,259774384,POINT (-0.1414857 51.5127342)
node,261269878,POINT (-0.0509194 51.52821)
node,261325961,POINT (-0.12483 51.4808939)
node,262411966,POINT (-0.0525884 51.5203402)
node,262562858,POINT (-0.0596251 51.5032228)
node,262565580,POINT (-0.1170999 51.5062917)
node,262565828,POINT (-0.137108 51.4888419)
node,264137221,POINT (-0.054029 51.505619)
node,264515720,POINT (-0.1187798 51.5178558)
node,264587384,POINT (-0.0446566 51.5222995)
node,264625036,POINT (-0.0828862 51.5271512)
node,264803330,POINT (-0.1115445 51.4872825)
node,265255741,POINT (-0.2862229 51.5096682)
node,265255759,POINT (-0.2879784 51.5101708)
node,265649514,POINT (-0.1570131 51.5416421)
node,265662788,POINT (-0.1419336 51.4957287)
node,266416976,POINT (-0.0068108 51.4955582)
node,266481949,POINT (-0.1393146 51.5109108)
node,267971989,POINT (-0.1667879 51.5717552)
node,268642686,POINT (0.0021059 51.5406584)
node,271409937,POINT (-0.026204 51.4997405)
node,271949508,POINT (-0.1422056 51.5131214)
node,271949545,POINT (-0.1423314 51.513393)
node,272077156,POINT (-0.140075 51.4920195)
node,272499359,POINT (-0.0136551 51.4861623)
node,273404140,POINT (-0.175384 51.6306596)
node,273542295,POINT (-0.11448 51.4614013)
node,275405499,POINT (-0.135199 51.49107)
node,276076130,POINT (-0.1399743 51.4924729)
node,276676950,POINT (-0.136883 51.4889995)
node,277337382,POINT (-0.1664209 51.4983961)
node,277910542,POINT (-0.0635587 51.514916)
node,280835741,POINT (-0.1694677 51.4833465)
node,281426069,POINT (-0.1876332 51.511834)
node,281426392,POINT (-0.1874213 51.5125046)
node,282113431,POINT (0.0207124 51.5075201)
node,282686484,POINT (-0.1151021 51.5056639)
node,282686485,POINT (-0.1167364 51.5052279)
node,282686486,POINT (-0.1169556 51.5052961)
node,282686488,POINT (-0.117588 51.5058176)
node,282859047,POINT (0.0261464 51.5054491)
node,286509356,POINT (-0.0825069 51.4962331)
node,286509357,POINT (-0.0825831 51.4961827)
node,287453551,POINT (-0.0914796 51.5006223)
node,288598376,POINT (-0.2645088 51.4995651)
node,290128614,POINT (-0.117683 51.5057051)
node,291667665,POINT (-0.1562741 51.4383116)
node,292163599,POINT (-0.1018834 51.520045)
node,292384037,POINT (-0.129607 51.4975224)
node,293805811,POINT (-0.1464791 51.5360507)
node,294102721,POINT (-0.1420045 51.5367912)
node,295448577,POINT (-0.1648246 51.5165605)
node,295905045,POINT (-0.1640981 51.5195485)
node,295975928,POINT (-0.0908549 51.513355)
node,296358655,POINT (-0.1413619 51.5112833)
node,296484518,POINT (-0.2780734 51.4924822)
node,296484947,POINT (-0.2675256 51.4935053)
node,296491138,POINT (-0.0951602 51.5080583)
node,296491141,POINT (-0.096 51.5081984)
node,296610128,POINT (-0.0931398 51.5117911)
node,296614811,POINT (-0.0803017 51.509793)
node,296614820,POINT (-0.0794148 51.5112388)
node,296615758,POINT (-0.0801739 51.5053308)
node,296615763,POINT (-0.0803967 51.5051331)
