Feature,Importance_score_xgb
room_type_Entire home/apt,0.72883034
bathrooms_count,0.026779778
bathroom_sharing_shared,0.019708492
bedrooms,0.008178203
calculated_host_listings_count_private_rooms,0.004490729
amenities_central air conditioning,0.004427706
amenities_dishwasher,0.004170365
number_of_nearby_restaurants,0.0040326063
accommodates,0.004006675
calculated_host_listings_count,0.0039411206
number_of_nearby_attractions,0.0034312918
property_type_Shared room in hostel,0.0032225493
room_type_Private room,0.0031067084
property_type_Room in boutique hotel,0.0029225585
property_type_Private room in home,0.0028286416
amenities_crib,0.0027471553
neighbourhood_cleansed_Westminster,0.0023152207
property_type_Room in hotel,0.001999526
amenities_hair dryer,0.0018678836
property_type_Private room in bed and breakfast,0.0018322897
host_listings_count,0.0018265534
calculated_host_listings_count_entire_homes,0.001793608
property_type_Entire serviced apartment,0.001568564
amenities_paid parking lot on premises,0.0015294945
review_scores_location,0.0012230937
room_type_Shared room,0.0011975551
property_type_Entire guest suite,0.0011795318
amenities_pocket wifi,0.0011301019
amenities_clothing storage: dresser,0.0011173375
amenities_air conditioning,0.0011102629
amenities_pool table,0.0010735524
property_type_Shared room in bed and breakfast,0.0010379214
host_response_time_unknown,0.0010091441
amenities_window ac unit,0.0010019863
amenities_free street parking,0.0009847052
"amenities_coffee maker: drip coffee maker, espresso machine",0.0009630085
amenities_canal view,0.00093183387
amenities_folding or convertible high chair - always at the listing,0.0009316516
calculated_host_listings_count_shared_rooms,0.00092878635
neighbourhood_cleansed_Kensington and Chelsea,0.0008932623
amenities_washer – in building,0.0008886418
amenities_indoor fireplace,0.0008526298
amenities_dove body soap,0.0008492694
amenities_paid washer,0.000831878
property_type_Entire guesthouse,0.0008159964
neighbourhood_cleansed_Barking and Dagenham,0.0008105719
neighbourhood_cleansed_Hillingdon,0.00080657966
neighbourhood_cleansed_Enfield,0.00080005324
amenities_bread maker,0.000784565
availability_60,0.0007799442
amenities_paid dryer – in building,0.0007786089
property_type_Shared room in condo,0.00077365746
property_type_Entire loft,0.0007707257
geo_y,0.00076579384
"amenities_32"" hdtv",0.00075941393
amenities_wifi – 36 mbps,0.00075836503
amenities_keypad,0.0007563224
geo_x,0.0007516578
availability_30,0.00073489145
amenities_lake view,0.0007286755
amenities_free dryer – in building,0.00071792264
amenities_private living room,0.0007150697
amenities_building staff,0.0007072626
"amenities_42"" hdtv",0.000696855
neighbourhood_cleansed_Croydon,0.0006940535
day_since_last_review,0.0006935151
amenities_stainless steel stove,0.0006922822
amenities_free driveway parking on premises – 1 space,0.0006917955
"amenities_children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old",0.00068895944
bathroom_sharing_private,0.0006832081
number_of_reviews_l30d,0.000670677
amenities_game console: ps4,0.0006702734
amenities_smoking allowed,0.0006656105
neighbourhood_cleansed_Newham,0.0006584837
"amenities_coffee maker: french press, nespresso",0.0006569478
amenities_elevator,0.00065375236
availability_90,0.00065271545
property_type_Private room in guesthouse,0.00064595626
amenities_paid pack ’n play/travel crib - available upon request,0.00064506853
neighbourhood_cleansed_Bexley,0.00063624704
property_type_Entire place,0.00063380064
neighbourhood_cleansed_Redbridge,0.0006283293
geo_z,0.0006163243
"amenities_clothing storage: closet, dresser, and wardrobe",0.0006058436
amenities_paid crib - available upon request,0.0006048608
amenities_free residential garage on premises – 1 space,0.00060471013
neighbourhood_cleansed_Hounslow,0.0006034972
amenities_courtyard view,0.0006019297
amenities_hdtv,0.00058841635
property_type_Private room in hostel,0.0005882964
amenities_outdoor dining area,0.00058770215
amenities_clothing storage: dresser and wardrobe,0.00058698846
property_type_Entire cottage,0.0005758762
amenities_hot water,0.00057484175
minimum_nights_avg_ntm,0.0005727178
neighbourhood_cleansed_Islington,0.0005703532
neighbourhood_cleansed_Waltham Forest,0.0005689757
amenities_city skyline view,0.00054031616
amenities_indoor fireplace: wood-burning,0.000539031
amenities_waterfront,0.00053425366
review_scores_rating,0.0005340008
amenities_exercise equipment,0.0005304765
amenities_sun loungers,0.0005284054
property_type_Private room,0.0005276374
amenities_lock on bedroom door,0.0005260452
review_scores_cleanliness,0.0005229438
amenities_high chair - available upon request,0.0005228701
neighbourhood_cleansed_Kingston upon Thames,0.00052276795
instant_bookable,0.0005181531
amenities_marina view,0.0005112026
amenities_paid washer – in building,0.0005052286
day_since_first_review,0.0004995805
"amenities_hdtv with amazon prime video, netflix",0.0004988047
host_total_listings_count,0.0004960497
neighbourhood_cleansed_Barnet,0.0004957262
amenities_stainless steel electric stove,0.00049559056
neighbourhood_cleansed_Greenwich,0.00049023196
amenities_table corner guards,0.0004864636
amenities_sound system with aux,0.00048523548
amenities_children’s books and toys for ages 0-2 years old and 2-5 years old,0.00048490686
availability_365,0.00048364932
amenities_hammock,0.00048289725
